Value
519
0
87
197
"4,800"
39
C
1
5
"95,900"
357
"6,328"
552
115
3276
215
0
344
1
45
145
0
202
550
64900
930
140
195
4
9966
C
1076
217
105
90
38
"2,289"
153
860000
97
8
"11,400"
"1,126"
108
40
3442
5025
2372
C
746
"1,132"
139
7
3131
823
"11,288"
155
"8,760"
3
85600
105
"201,400"
57
643
244000
"46,459"
69
143
2074
90
"6,162"
33
C
1190
7617
1449
27
5
92
6
184
373
"2,154"
7
3033
"1,900"
161
C
28652
661
"1,914"
C
36
209
5
223
"4,095"
"71,528"
"1,271"
8
71
11
258
355
14678
6411
1148
"3,886"
96
135
8
11970
"9,899"
8695
46
654
"7,155"
92
66
9600
9
199
"1,331"
"1,077"
245
174
121
461
651
C
6
"40,717"
32
12
395
"620,600"
"3,570"
112
1
"297,400"
"3,519"
5
141
397
12
"1,178"
138
"1,930"
"10,381"
C
77
13637
13956
21486
664292
757963
6963
0
"1,269"
"29,453"
414
"1,318"
"13,679"
"7,125"
102
200
"3,427"
12837
9
345700
"1,986"
53
1902
-2
"11,006"
"2,932"
752
"44,972"
665
4000
"1,610"
C
355
229
"8,174"
6
366
11
"82,418"
563100
61
"35,000"
1154
904
"3,455"
11
416
C
46
118
60
99
8
6
"7,348,800"
"6,343"
4226
510
"583,100"
164
1312
86
3186
5
35
11
6
4
"1,490"
1373
3
"226,000"
"3,628"
119
"51,663"
"1,154"
"1,204"
36072
266
"3,810"
634400
973
113
"319,700"
C
172
31
817
"1,551"
"15,203"
9244
"17,100"
574
1341
520
55
6
3291
"8,450"
780
261
7249
33178
81
0
"4,132"
"13,097"
"323,100"
4
496
72
13
"6,902"
319
13015
"5,122"
4159
98
492
5381
16
97
50
40
53
743
0
27
208
"3,164"
"11,351"
652
"3,364"
10
25
13
575
268
249
5855
698
21032
"1,089"
139
143
78
365
"23,524"
14871
C
21
161
896
221
8
107
273
393
"1,565"
3682100
0
34
"1,528"
243
"-31,400"
25
4205
C
282
C
42
144
357400
18911
"8,731"
46
16085
"7,554"
45
C
338
80
"13,368"
646
75653
20294
77
792
53500
89
48
1
3
9
C
344
33
"2,133"
83581
"15,852"
"10,126"
147
2630
3
55
4
"3,486"
690
"1,021"
3
8964
590
C
"2,325"
49
4506
784
"1,484"
1
70
408
8433
7
264
"16,851"
25622
"8,464"
"1,149"
0
389
57
849
2318
731
C
"5,847"
"4,127"
951
275
C
181
"41,300"
147
246
"2,121"
106
143
C
285
655
"2,140"
"6,518"
"32,245"
21045
21
2120
404
291
819
2199
17
1517
2716
C
378
136
6
"5,233"
"3,364"
"3,851"
9
8064
46
78
"4,179"
106
"29,100"
18
981
44
2657
19310
5
"1,851"
"2,020"
"1,784"
33
"6,071"
"1,125"
1285
61
268
8
"2,284"
"2,796"
47
C
"4,894"
162
805
138
64
37
503
422
"38,100"
354
"3,243"
6
35
3264
"12,204"
1
-25
"4,158"
775
926
1985
659
61930
"2,333"
110
31
878
25
"5,566"
11667
"3,577"
3145
0
"1,679"
10832
638
134400
4102
3489
"2,604"
90
806
505
10039
468
6718
122
52
15
87
533
1252200
93
816
"4,323"
"8,708"
1822
-152300
3
22
330
"35,858"
94
109
"295,700"
"4,083"
10
549
475
697
C
16
42
2
7
2
159
106
83
"3,393"
C
"3,983"
740
102
15
"11,750"
"1,458"
23
765
"2,967"
7861
11
"16,870"
10017
"10,526"
C
201
532
3548
"9,656"
281
4205
294600
177
"11,872"
47
"261,600"
70099
C
155
26
"1,482,200"
45
405
51
624
"4,377"
"1,219"
14
5170
"6,140"
"770,100"
C
"3,183"
731
17581
66
218
342
29
"6,131"
"1,805"
914
9
77
223
816
271
123
1160
26
C
"42,988"
9
11038
"4,672"
"13,271"
55
C
"15,620"
"8,200"
751
285
125
1541
"1,373"
986
289
"485,000"
"1,665"
C
8
"3,983"
243
19
"2,228"
3088
6
397
14
5104
"32,100"
689
"16,558"
625
54
24
24
604
"1,659"
26
303
27
"11,951"
2010
40
518
89800
15
"2,543"
98
210
103
69
245900
"1,073"
593
54016
0
"3,977"
821630
"5,676"
659
149
586500
118
355
2573
40
21
45
"209,500"
155
11
143
43
"13,423"
"28,483"
"8,938"
132
2120
1214
39
"1,002"
3857
258
14
122
C
133
929
1131
9
"13,798"
"1,032"
90
16
214
"11,682"
8831
"1,536"
18
1357
29
7
"5,913"
111
243
9
"3,606"
30
"18,922"
306
"3,324"
2894
27
244
964
"5,000"
"3,118"
"8,622"
66
28
4
"1,013"
0
30
8
76
"18,037"
4199
105
4
796
25
0
70
0
17
18797
617
11
2003
"65,800"
58
28827
-13
19
337
48
"2,185"
827
"9,487"
11332
"1,927"
10
27
4
C
"4,480"
104
2246
0
"10,633"
64
105
"1,412"
32
"2,840"
170
60
224
21
"42,961"
1083
280
2
32
218
131
855
3562
20
2134
"1,443"
970
"18,600"
"2,894"
"1,468"
"1,960"
10275
96
313
8
"97,900"
318
73
"3,932"
2177
610
"1,524"
772
72600
13
C
16600
71
54
2199
15227
13
5835
6364
21390
153
8
"6,200"
125
97
10558
239
"2,505"
"7,303"
95
320
53
57
303
"3,575"
C
C
C
"29,006"
868
66
"1,114"
127
988
"2,903"
74
"291,549"
"53,500"
485
529
53
100
"14,862"
24
2743
98
"1,527"
3636
"1,160"
8308
77
440400
179
7
589
"358,500"
4
18
957
0
986
"2,079"
"1,404"
"79,096"
22
133
491
6
41
612
21
10
8823
144200
"504,200"
12
"14,079"
112
89
983
8387
C
323531
"26,916"
148
"6,641"
C
"10,625"
22
684
722
4
"34,997"
2400
1336
68
3518
"3,871"
166
2
1778
18
"2,839"
7429
359655
106
C
"1,958"
91
243
"21,795"
43
63
3572
"7,721"
9
19
120483
C
823
23
94
15
106
3580
"6,100"
"1,201"
"2,165"
"1,519"
2
47
"13,873"
21301
4604
"2,254"
28200
"1,934"
"1,621"
14
91
561
C
"5,939"
3305
222
"8,585"
"4,598"
C
0
191
"10,239"
26100
"31,538"
28
919
312
12
"165,776"
185
C
"5,864"
5924
115
C
126
115
"377,700"
9637
C
24148
C
9
308
737
15
415
10
"4,539"
12
0
100
C
424
6478
42
2
479
44
286
76
"5,292"
22
32696
889
86
44788
15
2
30
C
62
4
"17,050"
4
137
7
32
"4,779"
120
"541,042"
"3,021"
1665
8109
166
988
287
296
127200
153
"1,283"
"2,649"
"3,460"
119
"1,651"
2704
37
7
45
339
C
"346,100"
"590,213"
82
-1
10023
"14,735"
825
830
"9,656"
98
82
135
"5,835"
"612,000"
36
161
C
8437
239
215
915
627
C
21
60
C
280
5
"3,506"
157
5
"13,148"
147215
165
193900
61
"1,064"
93
4
153
"5,160"
"86,969"
0
128
2749
3289
"4,489"
11
109
"1,290"
"2,150"
206
6046
126
20
104
"8,486"
121
68
"9,798"
174
160
122
"1,114"
113
98
40
C
"1,774"
C
20
C
2668
6
176
220
9
906
116
"2,764"
12361
147
35
7
952
445
"1,912"
"348,500"
84
271
"3,907"
49
13599
"2,206"
5
506
8
"85,300"
473
739
5297
313
"3,400"
"1,324"
C
"3,668"
4
65200
50
447
"1,574"
4080
5
11
58
20
19
2
378
16
721
391
206
125
16110
96
"2,375"
2624
10
536
C
11690
2794
47
C
111
32
35
"12,064"
345
27
1175
174
42
648
"1,329"
C
"321,900"
56
3669
"126,700"
C
8
"40,875"
33
"1,399"
"9,157"
"1,831"
15
95
368
"1,118"
192
0
50
51
5
544
0
C
162
61
"1,156"
7
67
"54,252"
"15,490"
49
1646
"47,004"
9
"144,200"
40
121
651700
690
C
42
5
913
"9,720"
"8,324"
557
0
8191
"4,493"
166
"3,231"
57
533
520
"2,724"
336
18220
"4,778"
3739
"8,405"
75
63
"5,345"
119
"584,900"
454
43633
73
25
33
0
C
87
1154
"10,404"
681
"23,721"
162
65
19
269
6820
1030
C
93
43
8
312
0
715
177
81
"4,556"
1
3532
389
30265
4
"4,748"
"22,896"
C
128
9059
9631
"1,172"
"27,700"
16
12
0
971
"1,328"
116
582
C
155
1602
37
"1,379"
1
856
224
2232
15
124
568
12
256900
407
60
0
86
33
141
"8,325"
"1,406"
36
"2,099"
5686
"1,489"
117
2
36
"3,340"
11900
96
8
0
"1,229"
"8,576"
C
C
141
82
"8,697"
"2,732"
376
"9,703"
"3,925"
124
64
169
1050
"32,003"
118
C
337
8203
245
"7,391"
"18,585"
C
"7,359"
"1,143"
"11,300"
152
C
381
291
7
39
52
"7,186"
44
102
"33,069"
12
71
23974
322
243
3
64
0
"1,575"
918
91
128
80
4062
46
"1,118"
800
"21,325"
"4,860"
983
3918
5
"1,523"
"1,385"
158
17
62
312
"12,322"
7928
28196
"2,266"
5079
145
171
3778
782
"18,871"
510
"1,411"
15
7
576
890
622
38
11
529
440
620
2989
1
"9,955"
70
364
"1,483"
"7,337"
4463
2618
13169
33
591987
5
93
"3,765"
57100
12
1443
"3,541"
30094
19
"3,202"
"3,547"
40
1613
209
"106,432"
"2,406"
8
"1,484"
1862
"2,771"
"4,299"
"1,478"
C
0
1538
2539
5031
14
3
5
15
13
89
"22,754"
2016
0
325
4
92
11
"3,595"
76
"1,073"
3937
361
4089
14823
74
"4,810"
19018
7
"5,235"
"14,641"
915
C
24751
6
5745
"1,508,300"
25
594
1
"2,475"
3525
135
46
292
194
756
183
"13,700"
147
"1,419"
399
"7,966"
"17,253"
"6,011"
1
10
2844
501
2439
"9,802"
"1,496"
78
38
436
189
40360
54
82
41
"4,264"
"4,998"
C
"36,107"
C
36
7
"11,152"
122
580
53
"1,699"
451
43
"2,924"
"5,028"
"26,573"
138
1599
"3,378"
"3,999"
"5,582"
"405,700"
577
103
"46,876"
"6,599"
31
57
0
32
942
"4,306"
"10,142"
150
68
"3,371"
94
"20,234"
178
C
598
47
19284
4
7400
875
104
3
4611
97
2771
74
977
3623
1120
45
3
"1,632"
"3,141"
466
70
24
39860
125
3900
4956
3460
46
176
"15,900"
614
C
C
14735
187
238
"1,065"
"23,948"
185
9315
"6,575"
"3,631"
69
"5,798"
"7,683"
"2,447"
32
7
49
"206,200"
"1,560"
"15,956"
3571
C
220
"1,888"
"1,457"
"480,900"
90046
3
291266
8064
945
148
C
48
261
23
696
C
"1,645"
60
"3,687"
114
"35,858"
66
14087
11
53
481
"1,009"
"2,922"
C
"1,422"
109
2703
42
468
464
33
"1,036"
65
"2,756"
266
2
"21,412"
14764
"45,180"
574
17
"16,576"
707
64
0
131
144
7
"3,558"
"372,200"
23
7
447
16
74
35
"2,885"
"2,386"
"1,532"
33
"1,248"
50
47
245
3720
"9,354"
2
725
35
"1,457"
231800
"8,221"
"2,426"
24
C
"50,816"
"7,573"
2
"7,714"
37
26
"1,452"
"1,877"
1365
148
3
1474
4
C
6939
22
"319,826"
20
6700
"4,019"
31
"1,426"
4400
1870
7315
159
"1,397"
93
8
891
27
"3,189"
43
C
51
373
"3,224"
153
"3,068"
743
C
"1,649"
10
396
179
44
"164,664"
"12,857"
"2,745"
4159
C
"25,996"
"2,435"
909
60
717
464
1
"25,078"
34
6828
812
"59,835"
0
164
643
40
171
"345,600"
238
"22,130"
"19,558"
285
72
416148
25
635
131
44
C
"4,564"
C
67
9
"3,178"
3512
"61,579"
10
"1,513"
17
"1,960"
4
35
1046
13787
97
8
"212,300"
4370
10129
41
4
14947
1296
0
503
63
"1,494"
38
C
1450
674
0
177
1793
13
"3,087"
"4,859"
"1,123"
"15,623"
288
109
451654
1044
"1,131"
81
"7,608"
110
106
"110,500"
282
232700
2942
14
14
660
50
5
6
24
"1,356"
"2,605"
93
19
"12,454"
1052
"20,963"
"16,390"
"20,600"
7
"104,892"
"2,652"
3
180
14
"3,121"
49
"15,656"
52
870
12
14691
4273
"1,632"
"5,637"
"22,209"
3
18
3
522
41
2
"78,055"
2115
520
"1,065"
242
82
474500
42
52
"2,076"
184
"3,516"
80778
16473
0
4191
2106
85
"66,100"
262600
5981
"22,079"
"24,863"
"1,328"
3
31
C
"3,043"
216500
"11,632"
12
33401
"3,384"
22548
127
"2,647"
"2,769"
"12,346"
70
62
C
110
"19,400"
"1,526"
C
10
88
"8,783"
10
17
158
133
628
C
C
C
66
0
"31,800"
328
11179
63
"1,905"
"5,332"
98
45
"1,460"
"22,130"
"1,789,100"
158
"2,765"
115
"62,700"
"29,602"
188
"1,441"
"1,539"
122
202
114
98
"12,800"
"1,305"
4
67
227
"1,994"
"7,054"
C
"25,064"
300
613
267
127
592500
16800
40
132
46
"3,617"
49
35
93
"6,759"
185
7
429
76
22
208
526
"20,988"
75
238
160
4
C
"1,338"
3
22
"3,218"
9
"1,371"
21400
3
"6,647"
20
12
"346,000"
10334
16
"1,481"
"8,313"
"196,800"
109
C
1476
"8,073"
C
"1,009,500"
13
116
210
C
115
338
72
21
2520
136
76200
